director,aud_mean,cri_mean,net_mean,count
조나단 자쿠보위즈,8.43,6,8.09,1
조나단 카프란,,8.38,,1
조나스 쿠아론,10,5.67,6.01,1
조던 복트-로버츠,8.14,6,7.95,1
조던 스콧,,6.65,7.63,1
조동오,,5.97,6.7,2
조디 포스터,8.44,5.88,7.85,1
조르단 골드나델,,10,,1
조르디 롬파르트,9.1,4.98,7.79,2
조림산,,4,6.56,1
조명남,,6.21,6.28,2
조민호,,4.84,6.53,2
조범구,8.4,5.935,7.96,2
조병옥,,6.5,7.15,1
조비 해롤드,,6.88,,1
조성규,8.667,5.105,8.067,4
조성우,,7,,1
조성은,7.91,5.75,8.05,1
조성희,8.24,6.717,7.54,3
조세래,6.92,6.17,8.1,1
조세프 루스낵,,8.58,,1
조셀린 무어하우스,8,6.4,8.03,1
조셉 고든 레빗,8.4,6.81,7.79,1
조셉 루벤,,4.35,,1
조셉 빌스마이어,,8.5,,1
조셉 코신스키,,6.155,7.75,2
조쉬 C. 월러,,4.41,,1
조쉬 분,7.89,5.45,8.475,2
조쉬 트랭크,5.68,4.585,5.9,2
조슈아 마이클 스턴,,5.08,7.26,1
조스 웨던,8.59,7.335,8.555,2
조엘 노보아,,5,6.66,1
조엘 슈마허,8.85,8.49,,3
조엘 에저튼,7.89,6.81,7.56,1
조엘 코엔,8.28,7.75,7.26,4
조용선,,4.5,7.59,1
조은성,9,6,7.55,1
조의석,8.66,6.493,7.95,3
조재민,8.04,6,8.48,1
조재현,6.43,6.33,6.54,1
조정래,9.335,6.1,7.98,2
조지 놀피,,5.75,7.17,1
조지 로이 힐,,9.235,,2
조지 루카스,,7.635,7.93,4
조지 루크,9.43,9.05,,1
조지 밀러,8.85,8.52,8.75,3
조지 스티븐스,,9.11,,1
조진규,,6.787,7.81,3
조진모,,5.18,8.6,1
조창호,8.2,5.375,5.39,2
조천우,,5.1,,1
조치언,8.64,5.38,8.57,1
조치엔,,6.26,,1
존 G. 아빌드센,,8.93,,3
존 R. 레오네티,7.09,3,6.94,1
존 S. 베어드,,6,7.79,1
존 V. 놀즈,,8.13,,1
존 V. 소토,,5.65,,1
존 거틴즈,,6.25,8.86,1
존 건,9.11,4,8.46,1
존 걸레거,,4.31,4.9,1
존 길러민,,8.655,,2
존 달,,7.67,,1
존 드레버,,5.53,,1
존 라세터,,8.375,8.13,4
존 라이트,,5.645,,2
존 루카스,,6.24,,1
존 리 행콕,,7.525,9.3,2
존 말루프,8.41,6.39,8.39,1
존 매든,9.2,6.5,9.39,1
존 맥켄지,,8,,1
존 맥클린,8.17,7.75,7.85,1
존 맥티어난,,9.205,,2
존 머스커,,9.33,,1
존 메이버리,,4,8.29,1
존 무어,,6.117,6.03,4
존 밀리어스,,8.28,,1
존 바담,9.33,8.405,,2
존 바움가트너,,2.56,,1
존 부어만,,6.24,,1
존 브루노,,8.24,,1
존 스터지스,,8.94,,1
존 스톡웰,,5.637,6.35,3
존 싱글톤,,5.933,7.185,3
존 아미엘,,8.24,,1
존 에릭 도들,8.14,5.75,7.46,2
존 에어스,,6.31,,1
존 웨인,,5.67,,1
존 웰스,7.91,5.67,6.97,1
존 추,8.53,6.047,8.18,4
존 카니,9.033,6.72,9.007,3
존 카펜터,,7.57,,1
존 캐머런 밋첼,,9.14,,1
존 커랜,,5.6,8.57,1
존 크로울리,8.4,7.635,8.475,2
존 크로키다스,8.25,6.2,8.19,1
존 터투로,7.92,5.9,7.66,1
존 터틀타웁,8.65,7.245,8.315,4
존 파브로,8.655,5.978,7.837,6
존 패트릭 샌리,,8.21,8.57,1
존 포그,7.27,4,6.73,1
존 폴리퀸,10,4,6.55,1
존 프랑켄하이머,,7.41,,1
존 허위츠,,8.13,,1
존 헤이,,7.045,,2
존 휴스턴,,9.17,,1
존 힐코트,6.21,6.37,8.027,3
죠 단테,,8.52,,1
주걸륜,9.16,5.67,9.27,1
주격태,9,8.1,,1
주드 아패토우,7.97,7.33,6.5,1
주성치,8.07,7.242,7.97,5
주연평,,6.885,,2
주지홍,8.4,6,8.06,1
줄리 테이머,,5,7.84,1
줄리아 리,,5,5.03,1
줄리아 폰 하인츠,8.27,6,8.16,1
줄리앙 람발디,8.83,6,9.13,1
줄리앙 마그넷,,4,7.41,1
줄리어스 에이버리,3.5,4.25,6.95,1
줄리언 길베이,,6.29,,1
줄리언 재롤드,,6,8.56,1
쥬세페 토르나토레,9,7.693,8.897,4
지길웅,,3,6.45,1
지나 프린스-바이스우드,7.29,6.5,7.2,1
지아 장 커,8.04,8.11,8.26,1
지오르고스 란디모스,,6.71,7.09,1
지헌,,5.07,,1
진 켈리,,9.32,,1
진 퀸타노,,7.46,,1
진-밥티스트 레오네티,8.45,5.38,7.31,1
진가상,,6.293,7.54,3
진가신,,7.683,7.69,4
진광교,,7.34,7.39,2
진국부,,7,8.73,1
진덕삼,,4,6.61,1
진모영,9.16,6,9.23,1
진목승,,7.713,7.3,6
진승현,,6.26,,1
진회의,,9.17,,1
질 미무니,8.6,8.91,,1
질 부르도스,7.72,6.32,7.41,1
질스 파겟-브레너,7.25,6,7.65,1
짐 맥브라이드,,7.79,,1
짐 미클,,7.67,,1
짐 셔먼,9.08,9,8.59,1
짐 쉐리단,,7.855,8.21,2
짐 자무쉬,9.01,7.933,7.79,3
쯔씽 쫑,7.71,5,7.94,1
차이밍량,8.57,8.04,,1
찰리 채플린,9.777,9.253,9.3,3
찰리 카우프만,7.77,7.67,7.46,1
찰스 가드,,4.88,6.85,1
찰스 비나메,7.56,5.35,7.6,1
찰스 퍼거슨,,7.92,9.19,1
찰스 허먼 움펠드 ,,6.16,,1
창감독,8.355,5.013,7.69,3
채길병,,6.26,,1
채두병,8.37,4.42,7.52,1
척 러셀,,9.19,,1
척 파워스,7.36,5,8.16,1
천성일,7.17,5.83,6.37,1
천카이거,9.8,7.225,5.63,2
청펀펀,7.33,6.25,9,1
첸 카이거,,4.6,4.71,1
최경석,8.04,4.67,8.55,1
최국희,9.15,6.38,9,1
최동훈,9.1,7.14,8.463,5
최무연,,7.25,,1
최상훈,,4.71,,1
최석원,,4.91,,1
최승연,8.8,6.88,7.17,1
최승호,9.6,5.835,8.365,2
최양일,,7.15,3.67,2
최우성,,6.015,,2
최윤석,8.49,8.42,,1
최율권희,,8.63,,1
최익환,,5.54,7.66,2
최재후,,7.34,,1
최정열,8.54,5.75,7.96,1
최종운,,5.67,8.06,1
최종태,,6.28,,1
최종현,,7.14,,1
최진성,,6.28,7.39,1
최진원,,5.5,7.74,1
최진호,,6.64,7.5,1
최현묵,,5,9.36,1
최형렬,,4.68,,1
최호,7.82,6.607,7.337,4
추상록,10,3,8.58,1
추창민,,6.84,8.933,4
츠츠미 유키히코,7.45,5.833,6.795,3
카네다 오사무,8.39,7.63,,1
카네코 슈스케,,7.68,,2
카란 조하르,,5.75,9.29,1
카를레스 토렌스,7.22,6.54,,1
카를로스 살다나,7.95,7,8.29,1
카메가키 하지메,8.51,5,8.84,1
카메론 크로우,,8.183,8.89,3
카미야마 켄지,,8.51,,1
카밀 들라마레,7.61,3.5,6.55,1
카스퍼 바포드,,4,6.87,1
카와무라 야스히로,,6.5,8.9,1
카와무라 토모히로,8.86,5,8.59,1
카일 발다,8.25,5.63,7.94,1
칸 테츠,,4.14,,1
캐럴 리드,,9,,1
캐리 후쿠나가,7,7.54,7.69,1
캐머런 맥킨토시,9.77,6.67,9.33,1
캐서린 하드윅,,5.29,7.43,2
캐스린 비글로우,,8.355,8.26,4
캐시 워커,,7.2,,1
캣 코이로,,6.83,,1
커스틴 쉐리단,,5,9,1
커크 드 미코,,7.58,9.24,1
커크 존스,8.54,4.585,8.01,2
커트 위머,,6.66,5.7,2
커티스 핸슨,,8.88,,1
케네스 로너건,8.89,7.75,8.78,1
케네스 브래너,7.56,5.837,7.677,3
케니 오테가,,6.475,9.255,2
케리 코란,,4.82,,1
케빈 고츠,6.21,1,6.91,1
케빈 그루터트,,4.105,7.235,2
케빈 레이놀즈,8.92,7.26,8.37,2
케빈 리마,,7.65,8.99,2
케빈 먼로,7.96,5,7.93,1
케빈 스미스,,6.465,,2
케빈 스페이시,,6,8.47,1
케빈 코스트너,,5.5,7.37,1
케이트 쇼트랜드,,8.21,,1
켄 로치,8.96,7.967,8.633,3
켄 스콧,,8.55,,1
켄 콰피스,,5.93,7.68,1
켄모치 사토시,,6,8.8,1
켈리 애스버리,,9.3,,1
코나카 카즈야,,6.33,8.65,1
코너 알린,,3.15,,1
코다마 켄지,,9.26,,1
코르넬 문드럭초,8.91,6.9,7.3,1
코바야시 츠네오,8.95,8.71,,1
코이즈미 노리히로,9.56,5.1,8.04,2
코이즈미 타카시,,6,8.78,1
코이케 타케시,,7.25,8.16,1
코지마 마사유키,8.92,6,8.98,1
콘도 요시후미,,7,9.12,1
콜린 미니한,,5.12,,1
콜린 스트로즈,,3.815,6.045,2
콜린 트레보로우,8.26,6.63,7.89,1
쿄고쿠 타카히코,9.33,8.53,,1
쿠보오카 토시유키,,7.66,8.66,1
쿠엔틴 타란티노,8.82,8.158,7.936,8
쿠와바라 사토시,9,8.9,,1
크레이그 조벨,10,5.51,,1
크레이그 질레스피,,7,8.07,1
크리스 고락,,4.63,5.78,1
크리스 나혼,,3.7,4.93,1
크리스 나흔,,8.53,,1
크리스 누난,,9.1,,1
크리스 리노드,8.67,6.67,8.58,1
크리스 맥케이,8.73,6.5,8.67,1
크리스 밀러,,6.13,8.41,1
크리스 벅,9.2,7.32,9.12,1
크리스 블레인,2,6.33,7.38,1
크리스 웨이츠,,6.803,6.42,3
크리스 웨지,,7.86,8.625,3
크리스 켄티스,,5.6,3.82,2
크리스 콜럼버스,7.81,8.138,7.49,9
크리스토퍼 놀란,9.39,7.987,9.03,8
크리스토퍼 맥쿼리,8.81,6.985,8,2
크리스토퍼 모리스,,6.39,,1
크리스토퍼 스미스,,5,4.23,1
크리스토퍼 스펜서,8.41,6.63,7.93,1
크리스토퍼 파라티에,,9.31,,1
크리스토프 갱스,,6,7.63,1
크리스토프 오노레,,6.92,7.39,1
크리스티아노 보르토네,7,7.13,9.05,1
크리스티안 디터,7.97,5,7.68,1
크리스티안 레브링,7.31,6.32,7.71,1
크리스티안 문쥬,,7.75,7.38,1
크리스티앙 데마르,8.67,6.72,7.85,1
크리스티앙 드 비타,7,5,8.12,1
크리스티앙 벵상,8.33,7.17,7.91,1
크리스티앙 알바트,,4.67,8.2,1
크쥐시토프 키에슬로프스키,9.08,9,8.43,1
크지슈토프 키에슬로프스키,9.14,8.51,,1
클레어 드니,7,7,5.93,1
클레이 케이티스,8.42,6,8.3,1
클로드 바라스,7.99,7.25,8.04,1
클로드 피노토,7.67,8.13,8.12,1
클린트 이스트우드,8.998,7.999,8.555,11
키넌 아이버리 웨이언스,,8.64,,1
키리야 카즈아키,8.14,5.13,6.94,1
키세 카즈치카,6,6.065,6.94,2
키스 아렘,,4.24,,1
키시 세이지,9.26,8.53,,1
키에란 멀로니,,8,,1
키오니 왁스먼,,6.47,,1
키타가와 에리코,,6.6,7.15,1
킴 누옌,8.17,6.5,7.94,1
킴 파란트,5.5,5.25,5.71,1
킴벌리 피어스,,9,,1
타니아 웩슬러,,6.46,8.01,1
타셈 싱,7.81,5.253,7.22,3
타카하시 시게하루,8.59,5.5,8.58,2
타카하시 와타루,8.48,7,9.08,1
타케 마사하루,8.6,7.37,8.61,2
타케모토 야스히로,9.5,5.33,9.2,1
타케우치 히데키,,5.95,6.19,1
타키모토 토모유키,,7.08,,1
타키타 요지로,,7,9.01,1
탁승오,,6.89,,1
테라모토 유키요,,8.9,,1
테렌스 맬릭,7.92,5.703,6.777,3
테렌스 영,,7.78,,1
테론 R. 팔슨즈,,5.07,,1
테리 길리암,,8.86,,1
테리 길리엄,7.9,5.773,5.917,3
테리 재스트로,,3.5,6.83,1
테리 조지,,7,9.09,1
테리 존스,6.85,4.95,6.69,1
테아 샤록,8.78,5,8.53,1
테이트 테일러,7.43,5.92,8.455,2
테일러 핵포드,,8.96,,1
텐진 체탄 초클리,8.69,9.39,,1
토니 길로이,,6.645,6.83,2
토니 밴크로프트,,9.24,,1
토니 빌,,5,8.17,1
토니 스콧,,7.98,8.375,8
토니 케이,8.6,6.64,8.87,1
토니오 잔가르디,,6.29,,1
토드 윌리엄스,5.45,4.31,4.44,1
토드 필드,,8.15,,1
토드 필립스,,6.74,7.15,2
토드 헤인즈,8.615,8.77,8.53,2
토마스 델라 벨라,,3.18,,1
토마스 맥카시,8.375,6.47,8.215,2
토마스 비더게인,7.75,7,8.8,1
토마스 빈터베르그,7.93,7.215,8.63,2
토마스 샤피로,,5.85,,1
토마스 알프레드슨,7,8.015,8.345,2
토머스 얀,10,7.88,9.11,1
토미 리 존스,8.855,8.18,7.33,2
토미 위르콜라,,5.69,7.56,1
토브 후퍼,,7.64,,1
토비 윌킨스,,3.875,5.565,2
토비 젠켈,8.38,6.16,8.3,1
톰 그린,,4.5,,1
톰 듀이,,7.185,,2
톰 맥그라스,,6.71,8.77,1
톰 무어,9.03,6.5,9.03,1
톰 브래디,,8.23,,1
톰 새디악,,8.012,7.94,4
톰 티크베어,9,5.785,7.09,2
톰 포드,8.545,6.645,8.31,2
톰 홀랜드,,8.88,,1
톰 후퍼,9.445,7.023,8.503,3
트란 안 훙,,4.985,4.39,2
트래비스 나이트,8.56,6.7,8.25,1
트래비스 클러프,6.24,3.33,6.86,1
트래비스 파인,8.91,5.67,8.97,1
트레버 넌,,9.45,,1
트레버 월,8.22,5,7.78,1
트레비스 포트,,2.85,,1
트룩 찰리 뉴엔,,7.81,,1
트리시 시에,8.3,4.5,8,1
티무르 베크맘베토브,8.47,5.223,7.76,3
티파니 슝,9.84,7.33,9.6,1
틴토 브라스,,6.57,,1
틸 슈바이거,,5.75,,1
팀 맥칸라이즈,,9.03,,1
팀 밀러,8.53,6.89,8.21,1
팀 버튼,8.65,7.602,7.754,12
팀 블레이크 넬슨,9.25,5.5,7.56,1
팀 스토리,,4.5,5.6,1
팀 존슨,8.46,6.775,8.375,2
파룩 악소이,,5,,1
파벨 포리코브스키,8.78,7.275,6.985,2
파블로 라라인,7.41,6.4,7.12,1
파블로 트라페로,8.52,7.42,7.09,1
파스칼 로지에,,7.08,6.47,1
파스칼 쇼메유,,6.25,7.56,1
파올로 소렌티노,8.155,7.01,8.077,3
파우스토 브리찌,,6.825,8.9,2
파윈 푸리킷판야,,3.57,,1
파코 카베자스,,4.5,7.14,1
파트릭 알레산드렝,,6.25,7.82,1
파티 아킨,,8.24,,1
패디 브레스내치,8.67,6.5,8.86,1
패트리시아 리건,9.22,5.375,8.435,2
패트릭 루지어,,5,6.42,2
패트릭 휴즈,8.13,5,7.93,1
퍼시 애들론,8.99,7.5,9.02,1
펑샤오강,,5.69,7.455,2
펑천,9.41,6,9.12,1
페니 마샬,,8.66,,1
페데 알바레즈,8.43,7.04,8.02,1
페드로 알모도바르,8.25,6.605,8.035,2
페르난도 메이렐레스,,7.067,7.993,3
페이튼 리드,8.71,7.258,8.735,4
포아드 미카티,6,4.5,6.84,1
폴 그린그래스,8.4,7.117,8.402,6
폴 맥기건,8.83,4.585,7.6,2
폴 버호벤,,7.07,8.84,2
폴 슈레이더,,7.96,,1
폴 슬레딴느,,7.03,,1
폴 앤더슨,7.96,6.594,7.69,7
폴 앤드류 윌리엄스,8.5,6,8.46,1
폴 웨이츠,,6,7.84,1
폴 킹,8.76,6.64,8.58,1
폴 탠터,,3.43,,1
폴 토마스 앤더슨,8.75,8.21,8.52,3
폴 티비트,7.92,5.5,8.38,1
폴 페이그,8.54,6.897,7.973,3
폴 해기스,,5.94,8.24,2
표도르 본다르추크,,7,7.57,1
풍덕륜,,4,6.89,1
프라챠 핀카엡,,6.675,8.29,2
프란시스 로렌스,7.6,7.166,7.83,5
프란시스 포드 코폴라,,8.618,9.215,5
프란체스카 뮤시,,10,,1
프란체스코 친퀘마니,,3.62,,1
프랑소와 오종,,7.8,7.14,1
프랑소와 트뤼포,8.31,8.75,8.2,1
프랭크 다라본트,9.88,8.36,8.31,3
프랭크 드 펠리타,,9.12,,1
프랭크 마샬,,6.705,9.24,2
프랭크 밀러,7.25,7.48,6.67,2
프랭크 월리,,8.44,,1
프랭크 코라치,,7.137,9.13,3
프랭클린 J. 샤프너,9.33,9.17,,1
프랭키 첸,9.5,6.8,8.81,1
프레드 올렌 레이,,4.71,,1
프레드 진네만,,8.81,,1
프레드릭 본드,6.8,4,7.35,1
플렉스 할그렌,8.17,6.79,7.81,1
플로렝 에밀리오 시리,,7.375,,2
플로리안 헨켈 폰 도너스마르크,,6.265,7.585,2
피 제이 호건,,5.29,7.06,1
피에르 꼬팽,,6.54,8.915,2
피에르 데셤프스,8.43,5.8,8.26,1
피에르 모렐,6.83,5.443,8.243,3
피터 C. 스펜서,9.33,9.41,,1
피터 가이거,,2.28,,1
피터 램지,,6.75,9.14,1
피터 레페니오티스,7.33,7,6.66,1
피터 로드,,8.63,,1
피터 버그,8.795,5.248,8.298,5
피터 손,8.92,6.22,8.78,1
피터 솔레트,8.48,6.5,8.2,1
피터 시걸,,8,,2
피터 애튼시오,,4.55,,1
피터 엥거트,,6.7,,1
피터 웨버,,5.117,6.95,3
피터 위어,9.57,8.363,9.38,4
피터 잭슨,8.815,7.812,8.194,8
피터 첼섬,8.505,6.937,8.29,3
피터 첼솜,,8.15,,1
피터 콘웰,,4.56,7.17,1
피터 패럴리,,8.57,,1
피터 플린스,,5.48,,1
피터 헤지스,,5.67,8.23,1
피터 호윗,,7.455,,2
피터 호튼,,9.35,,1
피터 휴잇,,7.32,,1
피토프,,5.5,,1
피트 닥터,9.04,8.51,9.175,3
피트 트레비스,,6.165,7.57,2
필 로드,8.42,7.2,8.46,1
필 모리슨,,7,7.16,1
필 알덴 로빈슨,8.58,8.28,,2
필 티페트,,3.17,,1
필리다 로이드,,6.84,8.17,2
필리프 카델바흐,,9.18,,1
필리프 팔라도,9.56,5.5,9.03,1
필립 가렐,7.44,7.4,7.22,1
필립 노이스,7.87,6.15,7.825,3
필립 드 쇼브홍,8.56,6.5,8.23,1
필립 슈톨츨,,5,6.27,1
하기호,7.51,5.46,6.49,2
하길종,,8.96,,1
하나도 준지,,3.5,7.62,1
하나부사 츠토무,3.86,5.113,4.605,3
하네스 홀름,9.04,6.86,9.14,1
하라 케이노스케,,6,7.5,1
하라 케이이치,7.5,7.185,8.93,2
하라다 마사토,8,4,4.05,1
하명중,,6.94,,1
하모니 코린,,5.5,6.08,1
하몽화,,9,,1
하비에르 페서,6.13,7,5.2,1
하스미 에이이치로,7.79,4.875,5.87,2
하시모토 마사카즈,8.5,8.62,,2
하시모토 미츠지로,,7.57,,1
하야토 다테,,6,8.95,1
하우메 발라게로,,6.655,7.16,4
하워드 도이치,,8.73,,1
하워드 혹스,,8.258,,4
하원준,,6.5,4.63,1
하정우,7.6,6.465,6.815,2
한동욱,8.47,5.34,8.64,1
한동호,,1.5,3,1
한상호,,7.61,,1
한상희,9.2,6.797,,3
한승림,3,2.32,,1
한승훈,10,4,7.92,1
한윤선,9.63,7,8.45,1
한재림,8.4,7.013,8.127,4
한종훈,,5,5.28,1
한준희,7.58,6.03,6.94,1
한지승,,5.5,8.12,1
한지원,7.18,6.55,7,1
해도,,2.89,,2
해럴드 즈워트,,5.36,7.685,2
해롤드 래미스,,9.15,,1
해롤드 벡커,,6.665,,2
해롤드 크론크,9.107,5.63,7.715,3
해리 훅,,7.95,,1
허안,6.73,4.5,5.12,1
허우 샤오시엔,7.815,7.98,7,2
허은희,8.28,4.92,7.46,1
허인무,,5.945,8.7,2
허정,,6.03,6.83,1
허종호,8.5,6.65,7.86,1
허진호,9.365,7.202,8.18,6
헤랄드 지페르만,7.93,7.88,,1
헥터 헤르난데즈 비센스,,6.09,,1
헨리 셀릭,,8.46,9.11,2
헨리 알렉스 루빈,,7.5,8.56,1
헨리 유스트,,7.565,,2
헬렌 헌트,8.28,5.5,8.12,1
호세 루이스 쿠에르다,,9.22,,1
호세 파딜라,7.52,7.5,8.48,3
호소다 마모루,9.395,7.502,8.922,4
호소다 마사히로,,8.11,,1
호시 마모루,,7.86,,1
홍기선,,6.09,5.85,1
홍리경,9.47,7,8.52,1
홍상수,8.439,7.719,7.213,15
홍석재,7.82,7.18,7.84,1
홍성수,,7,,1
홍원찬,7.08,6.31,6.44,1
홍재희,8.23,7,8.02,1
홍지영,8.8,5.845,7.865,2
홍헌표,8.88,8.74,,1
홍형숙,,8.52,7.53,1
화니,,4.9,,2
황동혁,9.09,6.37,8.91,3
황백기,,7.25,,1
황병국,,6.13,7.67,2
황상원,,7.5,,1
황수아,,6.88,8.3,1
황승재,,2.75,5.98,1
황욱,7.5,4.5,6.45,1
황윤,8.92,6.17,8.87,1
황인호,6.27,5.585,7.15,2
황정보,,6.4,,1
황진진,8.67,7.43,,1
후루사와 켄,,4,4.09,1
후루하타 야스오,,6.8,,1
후안 안토니오 바요나,,7.19,8.1,1
후안 호세 캄파넬라,8,6.125,8.15,2
후앙 카를로스 메디나,,6,7.62,1
후지모리 마사야,,8.87,,1
후카가와 요시히로,,6.63,6.55,1
후카사쿠 킨지,,6.4,,2
히구치 신지,,5,3.36,1
히라바야시 이사무,8.54,8.55,,1
히라카와 유이치로,6.91,3.5,5.46,1
히로키 류이치,,6,7.57,1
히시다 마사카즈,9.72,9.27,,1