genre,aud_mean,cri_mean,net_mean,count
SF,8.18,6.59,7.443,377
가족,8.452,7.029,8.268,229
공연실황,9.363,8.48,9.33,4
공포,7.002,5.939,6.488,329
느와르,7.704,6.664,7.131,27
다큐멘터리,8.924,6.927,8.408,97
드라마,8.414,6.882,7.893,1870
멜로/로맨스,8.222,6.643,7.695,701
모험,8.297,6.77,7.77,484
무협,NaN,5.132,7.51,6
뮤지컬,8.798,7.426,8.232,52
미스터리,8.016,6.397,7.241,220
범죄,8.104,6.743,7.568,422
블랙코미디,NaN,8.29,7.32,1
서부,8.534,7.492,7.338,27
서사,9.365,6.147,8.223,7
서스펜스,8.123,6.292,7.143,21
스릴러,7.853,6.381,7.27,883
애니메이션,8.44,7.186,8.267,308
액션,8.028,6.5,7.443,1005
에로,NaN,7.883,NaN,3
전쟁,8.627,7.135,7.939,128
코미디,8.253,6.629,7.651,889
판타지,8.341,6.738,7.634,373