nation,aud_mean,cri_mean,net_mean,count
그리스,8.22,7.943,7.53,3
네덜란드,7.53,6.706,7.595,7
노르웨이,8.3,6.41,7.67,5
뉴질랜드,8.57,7.983,8.26,6
대만,8.235,6.878,8.163,20
덴마크,8.304,7.053,8.311,13
독일,8.461,7.083,8.108,46
독일(구 서독),8.99,8.563,9.02,3
러시아 연방,7.79,6.783,8.267,14
루마니아,,7.75,7.38,1
말레이지아,7.36,5,8.16,1
멕시코,8.933,7.053,7.987,6
몽골,,4.12,,1
미국,8.215,6.807,7.765,1551
베네수엘라,,5,6.66,1
베트남,,7.81,,1
벨기에,8.33,7.171,8.152,8
북한,,6.74,,1
브라질,8.845,7.212,8.902,5
스웨덴,8.605,6.987,7.947,12
스위스,8.33,7.145,8.18,2
스페인,8.009,6.177,7.257,34
아르헨티나,8.27,6.524,7.928,5
아이슬란드,9.07,6.633,8.065,3
아일랜드,8.541,7.27,8.448,12
에스토니아,,8.3,,1
영국,8.35,6.782,7.867,197
오스트레일리아,7.692,6.863,7.228,26
오스트리아,7.513,7.453,8.127,4
우크라이나,7.69,6.71,7.52,1
이란,8.95,7.947,8.74,3
이탈리아,8.355,6.857,7.938,32
인도,9.082,6.306,8.966,9
인도네시아,,7.57,8.215,2
일본,8.425,6.964,7.764,327
중국,7.929,6.007,7.556,93
체코,7.85,5.93,6.9,3
칠레,5.68,7,4.79,1
캐나다,8.11,6.422,7.617,46
콜롬비아,,8.01,,1
태국,8,5.691,7.474,8
터키,,4.79,,2
페루,7.81,8.05,,1
폴란드,8.35,6.86,7.95,3
푸에르토리코,,7.12,,1
프랑스,8.42,6.994,7.826,133
핀란드,8.42,7.02,8.3,2
한국,8.117,6.164,7.361,1163
헝가리,8.78,7.743,7.64,3
홍콩,9.103,7.474,7.358,78