method,predicted_mean,predicted_min,predicted_max,intersect_mean,intersect_min,intersect_max,actual_mean,actual_min,actual_max,length( !=0),length ( ==0),0_ratio,rate_mean,rate ( >0),rate_max,rate_min,NaN,ints_length,pre_ac_cor,mean_abs
all_union,122.706262,100,150,3.109748225,0,13,11.88508715,5,27,1468,81,0.052,0.260288338,0.274650296,0.875,0,N,4817,0.271467363,2.060588359
k_m_all_union,69.821821,52,92,2.503550678,0,12,11.88508715,5,27,1388,161,0.104,0.208628254,0.232827929,0.75,0,N,3878,0.271467363,2.056922431
cf_union,69.821821,52,92,2.503550678,0,12,11.88508715,5,27,1388,161,0.104,0.208628254,0.232827929,0.75,0,N,3878,0.271467363,2.056922431
60_c_freq_wo_uar_km2,60,60,60,2.313105229,0,10,11.88508715,5,27,1369,180,0.116,0.194423074,0.219986371,0.714285714,0,N,3583,0.266952652,2.10860852
60_u_freq,60,60,60,2.317624274,0,10,11.88508715,5,27,1363,186,0.12,0.194358757,0.220881669,0.666666667,0,N,3590,0.256390493,2.082041055
60_c_freq,60,60,60,2.315041963,0,10,11.88508715,5,27,1366,183,0.118,0.193924987,0.219904689,0.666666667,0,N,3586,0.254844776,2.09755432
60_u_freq_wo_uar_km2,60,60,60,2.295029051,0,11,11.88508715,5,27,1364,185,0.119,0.193012013,0.219190328,0.75,0,N,3555,0.263170687,2.112435471
60_c_freq_wo_uar,60,60,60,2.276307295,0,10,11.88508715,5,27,1360,189,0.122,0.190571486,0.217055318,0.666666667,0,N,3526,0.252918406,2.101773986
60_u_freq_wo_uar,60,60,60,2.274370562,0,11,11.88508715,5,27,1358,191,0.123,0.190429282,0.217212782,0.666666667,0,N,3523,0.253662493,2.075779791
k_m2_union,58.727566,45,74,2.177533893,0,11,11.88508715,5,27,1338,211,0.136,0.181156641,0.209724691,0.636363636,0,N,3373,0.263062026,2.041337644
k_m_union,47.347966,37,64,2.016139445,0,9,11.88508715,5,27,1299,250,0.161,0.168794655,0.201280155,0.666666667,0,N,3123,0.271467363,2.059287819
count_rec,30,30,30,1.574564235,0,9,11.88508715,5,27,1174,375,0.242,0.131564668,0.173589158,0.666666667,0,N,2439,0.279107333,2.05712536
30_c_freq_wo_uar_km2,30,30,30,1.562298257,0,8,11.88508715,5,27,1179,370,0.239,0.130945811,0.172039916,0.6,0,N,2420,0.272789094,2.007266661
all_freq,30,30,30,1.55842479,0,9,11.88508715,5,27,1181,368,0.238,0.130507374,0.171173515,0.571428571,0,N,2414,0.250981528,2.028489325
k_m_freq,30,30,30,1.549386701,0,8,11.88508715,5,27,1175,374,0.241,0.129631039,0.170892323,0.6,0,N,2400,0.271111075,2.031904808
30_u_freq_wo_uar_km2,30,30,30,1.536475145,0,8,11.88508715,5,27,1180,369,0.238,0.129318154,0.169757475,0.666666667,0,N,2380,0.256063667,2.024386778
k_m_all_freq,30,30,30,1.537120723,0,8,11.88508715,5,27,1180,369,0.238,0.128811194,0.169091982,0.571428571,0,N,2381,0.262139975,2.039771403
cf_freq,30,30,30,1.537120723,0,8,11.88508715,5,27,1180,369,0.238,0.128811194,0.169091982,0.571428571,0,N,2381,0.262139975,2.039771403
30_c_freq,30,30,30,1.533892834,0,9,11.88508715,5,27,1184,365,0.236,0.128757995,0.168451127,0.571428571,0,N,2376,0.258522017,2.028099608
30_u_freq,30,30,30,1.521626856,0,10,11.88508715,5,27,1187,362,0.234,0.127494268,0.16637626,0.571428571,0,N,2357,0.257036243,2.018147584
grk,30,30,30,1.515171078,0,8,11.88508715,5,27,1164,385,0.249,0.126681445,0.168582095,0.555555556,0,N,2347,0.255646965,2.05441556
30_c_freq_wo_uar,30,30,30,1.471271788,0,9,11.88508715,5,27,1157,392,0.253,0.123329243,0.165114085,0.571428571,0,N,2279,0.266363446,2.046661608
nak,30,30,30,1.453841188,0,8,11.88508715,5,27,1141,408,0.263,0.122259267,0.165976867,0.615384615,0,N,2252,0.249474112,2.015199477
gek,30,30,30,1.468689477,0,9,11.88508715,5,27,1150,399,0.258,0.122132684,0.164507415,0.571428571,0,N,2275,0.280632686,2.013475637
k_m2_freq,30,30,30,1.397030342,0,8,11.88508715,5,27,1129,420,0.271,0.11685732,0.160329485,0.571428571,0,N,2164,0.248784471,2.025339855
grk2,30,30,30,1.344092963,0,7,11.88508715,5,27,1101,448,0.289,0.112011926,0.157589895,0.5,0,N,2082,0.251339792,2.005942078
alcf,30,30,30,1.333763719,0,8,11.88508715,5,27,1087,462,0.298,0.111606175,0.159041366,0.625,0,N,2066,0.255865672,1.989627162
nak2,30,30,30,1.320206585,0,8,11.88508715,5,27,1090,459,0.296,0.11132743,0.158207512,0.571428571,0,N,2045,0.223462883,2.0559963
uar,30,30,30,1.324725629,0,8,11.88508715,5,27,1092,457,0.295,0.110837611,0.157222948,0.571428571,0,N,2052,0.226995316,1.972434947
30_u_freq_wo_uar,30,30,30,1.302775985,0,9,11.88508715,5,27,1103,446,0.288,0.110343429,0.15496099,0.666666667,0,N,2018,0.241999256,2.048101563
grcf,30,30,30,1.320852163,0,8,11.88508715,5,27,1097,452,0.292,0.109683462,0.154876647,0.555555556,0,N,2046,0.286531791,2.006943986
gecf,30,30,30,1.318915429,0,7,11.88508715,5,27,1096,453,0.292,0.109377439,0.154585449,0.571428571,0,N,2043,0.235344985,2.017983412
gek2,30,30,30,1.291801162,0,7,11.88508715,5,27,1074,475,0.307,0.106488198,0.153584934,0.571428571,0,N,2001,0.257256205,2.021113882
nacf,30,30,30,1.257585539,0,8,11.88508715,5,27,1081,468,0.302,0.105828232,0.15164471,0.625,0,N,1948,0.220307692,2.047541838
k_m_inter,15.688186,6,24,0.971594577,0,8,11.88508715,5,27,928,621,0.401,0.080679163,0.134668129,0.444444444,0,N,1505,0.226524137,2.005037263
k_m2_inter,8.743706,1,17,0.577792124,0,5,11.88508715,5,27,658,891,0.575,0.048246993,0.113578408,0.428571429,0,N,895,0.208894651,2.038388086
k_m_all_inter,7.233699,0,17,0.5087153,0,5,11.88508715,5,27,598,951,0.614,0.042268636,0.10948849,0.375,0,N,788,0.189966887,2.017468535
cf_inter,7.233699,0,17,0.5087153,0,5,11.88508715,5,27,598,951,0.614,0.042268636,0.10948849,0.375,0,N,788,0.189966887,2.017468535
ccbr,31,31,31,0.123950936,0,3,11.88508715,5,27,175,1374,0.887,0.010599526,0.093820944,0.3,0,N,192,-0.106992972,3.091453615
random_rec,30,30,30,0.022595223,0,2,11.88508715,5,27,34,1515,0.978,0.001553013,0.070753463,0.142857143,0,N,35,0.110347458,1.16042295
score_rec,30,30,30,0.007101356,0,1,11.88508715,5,27,11,1538,0.993,0.000725824,0.102209154,0.142857143,0,N,11,NA,NA
all_intersect,0.000646,0,1,0,0,0,11.88508715,5,27,0,1549,1,0,NA,0,0,N,0,NA,NA